"Normal10(mu=0,sigma=1)","Normal100(mu=0,sigma=1)","Normal1000(mu=0,sigma=1)","t10(df=1,ncp=0)","t100(df=1,ncp=0)","t1000(df=1,ncp=0)","F10(df1=5,df2=5,ncp=0)","F100(df1=5,df2=5,ncp=0)","F1000(df1=5,df2=5,ncp=0)","Chisq10(df=5,ncp=0)","Chisq100(df=5,ncp=0)","Chisq1000(df=5,ncp=0)","Beta10(alpha=1,beta=1)","Beta100(alpha=1,beta=1)","Beta1000(alpha=1,beta=1)","Gamma10(shape=1,scale=1)","Gamma100(shape=1,scale=1)","Gamma1000(shape=1,scale=1)","InvGamma10(shape=1,scale=1)","InvGamma100(shape=1,scale=1)","InvGamma1000(shape=1,scale=1)",Exp10(rate=1),Exp100(rate=1),Exp1000(rate=1),Bern10(p=0.5),Bern100(p=0.5),Bern1000(p=0.5),"Binom10(p=0.5,n=10)","Binom100(p=0.5,n=10)","Binom1000(p=0.5,n=10)","NBinom10(nsuccess=1,p=0.5)","NBinom100(nsuccess=1,p=0.5)","NBinom1000(nsuccess=1,p=0.5)",Pois10(lambda=1),Pois100(lambda=1),Pois1000(lambda=1),bla
"",0.918977,-0.505957,"",-170.103,-2.05049,"",0.43136,0.963344,"",2.04143,5.19818,"",0.335893,0.122122,"",1.37647,0.866603,"",18.8866,0.380451,"",0.0333884,1.3595,"",1,1,"",3,5,"",0,3,"",1,1,""
"",0.782136,1.34304,"",1.33202,-0.943152,"",2.4951,2.1972,"",0.886874,1.98357,"",0.129563,0.939338,"",0.686118,1.6151,"",0.617394,0.231024,"",0.20919,0.0552649,"",1,0,"",4,5,"",1,0,"",4,0,""
"",0.074565,-0.214579,"",-2.18545,-6.54616,"",4.23772,4.5,"",6.39156,7.33853,"",0.77001,0.638787,"",0.552743,0.768408,"",2.96723,2.06732,"",0.333579,2.53442,"",1,0,"",3,5,"",0,4,"",0,1,""
"",-1.98935,-0.179557,"",-0.728225,0.072516,"",7.04546,0.273503,"",4.37935,5.24271,"",0.0368765,0.716075,"",2.11153,0.00953859,"",3.00218,2.58132,"",0.344942,1.77764,"",1,1,"",7,1,"",0,0,"",1,1,""
"",0.619826,-0.100191,"",0.915817,0.498002,"",0.502205,0.888482,"",6.68147,4.33431,"",0.632004,0.527012,"",0.351647,0.981475,"",4.98057,0.490242,"",0.334528,0.471996,"",1,1,"",5,6,"",1,0,"",0,1,""
"",-0.0561287,0.712666,"",-0.246032,0.14309,"",2.26351,1.80172,"",5.91418,3.03603,"",0.0645552,0.556914,"",2.20386,0.0952352,"",6.46728,3.30468,"",0.366089,0.372645,"",0,1,"",4,5,"",0,0,"",1,2,""
"",-0.155796,-0.0735644,"",-1.31781,0.905442,"",2.03265,0.527034,"",7.58351,3.43496,"",0.288439,0.857533,"",2.64263,0.546435,"",1.56613,1.09493,"",0.872714,0.0360317,"",1,0,"",5,2,"",0,4,"",3,2,""
"",-1.47075,-0.0376342,"",2.6375,0.923517,"",1.15376,2.42669,"",2.01105,6.36252,"",0.016491,0.346696,"",0.0299546,0.626111,"",0.764138,0.954926,"",2.91644,1.46345,"",1,0,"",5,5,"",0,0,"",0,1,""
"",-0.47815,-0.68166,"",-0.528758,0.0691536,"",0.646068,0.481201,"",5.37943,4.03327,"",0.840891,0.333009,"",0.517754,2.23973,"",1.81507,0.743089,"",0.454529,0.667269,"",0,0,"",2,1,"",5,2,"",0,0,""
"",0.417942,-0.32427,"",-0.169595,-0.340744,"",0.0618814,2.40716,"",2.32131,6.59593,"",0.795341,0.702038,"",0.286529,2.77185,"",2.15503,0.812337,"",0.106523,2.03002,"",0,0,"",4,5,"",1,0,"",0,3,""
"",1.35868,0.0601604,"",-1.63993,-1.6474,"",1.01897,0.48934,"",1.29184,4.93928,"",0.76512,0.180083,"",0.899446,0.274355,"",1.60678,1.16603,"",3.456,0.235377,"",0,0,"",5,6,"",0,0,"",0,1,""
"",-0.102788,-0.588894,"",-2.83657,-1.88145,"",1.3648,0.587361,"",4.83772,6.04533,"",0.579403,0.323949,"",1.54327,0.588588,"",1.58045,1.38187,"",2.30295,1.67532,"",1,0,"",4,4,"",0,0,"",0,0,""
"",0.387672,0.531496,"",0.182734,2.40416,"",0.753783,1.00598,"",1.10091,3.63418,"",0.254532,0.26721,"",0.533128,0.58546,"",1.38974,34.0024,"",1.74331,0.761764,"",1,0,"",8,3,"",0,1,"",0,1,""
"",-0.053805,-1.51839,"",-6.41336,-1.44394,"",1.31628,0.300041,"",5.06376,7.5968,"",0.554906,0.0591592,"",1.13741,1.62057,"",3.8526,1.00508,"",0.639145,2.93285,"",0,0,"",8,5,"",0,1,"",3,0,""
"",-1.37706,0.306558,"",36.2706,-0.341719,"",1.89297,1.93147,"",6.84609,4.39427,"",0.59244,0.653356,"",2.43422,1.36309,"",1.71045,1.58556,"",0.981385,0.81838,"",0,0,"",6,7,"",0,4,"",1,2,""
"",-0.414995,-1.53645,"",-1.661,0.478628,"",0.546825,0.893776,"",7.35046,1.69275,"",0.211427,0.677034,"",1.19863,1.04416,"",0.433535,1.32932,"",1.16168,0.420444,"",1,0,"",10,6,"",1,4,"",1,0,""
"",-0.39429,-0.300976,"",1.28335,-0.69076,"",1.26063,3.71952,"",5.47334,2.87601,"",0.26155,0.347604,"",2.77005,0.341617,"",0.586024,5.00434,"",0.0991911,0.0306496,"",1,0,"",4,4,"",5,1,"",1,2,""
"",-0.0593134,-0.52828,"",-2.21151,0.622939,"",3.77901,3.385,"",6.89486,3.56327,"",0.895902,0.793699,"",3.0994,1.24419,"",1.23365,13.9794,"",2.46754,1.79526,"",0,1,"",8,4,"",0,1,"",0,2,""
"",1.10003,-0.652095,"",0.776292,0.055181,"",0.433501,0.181334,"",1.25786,2.85085,"",0.361128,0.602488,"",0.290697,0.412431,"",2.08031,0.259219,"",0.587586,3.64097,"",1,1,"",8,7,"",0,2,"",1,2,""
"",0.763176,-0.0568968,"",0.55487,-4.10603,"",0.849573,1.49505,"",5.58196,3.147,"",0.638278,0.894898,"",0.0328696,0.488547,"",1.84887,58.6985,"",0.585375,2.12271,"",0,0,"",6,5,"",0,0,"",1,1,""
"",-0.164524,-1.91436,"",-0.133706,2.8618,"",1.60405,0.642254,"",4.01769,2.78653,"",0.212997,0.69334,"",2.48297,2.77158,"",0.699855,0.525986,"",4.0443,2.49068,"",0,0,"",6,4,"",1,1,"",0,1,""
"",-0.253362,1.17658,"",0.148229,3.07869,"",0.473296,0.354027,"",4.43737,5.5377,"",0.901882,0.413157,"",1.15418,0.321737,"",32.4589,1.26485,"",0.336697,0.563718,"",0,0,"",5,6,"",2,0,"",0,0,""
"",0.696963,-1.66497,"",-0.88038,0.752425,"",4.75711,2.65749,"",1.09646,5.02261,"",0.209908,0.494913,"",1.14202,0.00378521,"",0.414002,11.6546,"",1.2119,0.609884,"",0,0,"",6,5,"",1,1,"",0,0,""
"",0.556663,-0.46353,"",3.30463,0.510596,"",1.00264,0.85563,"",3.74993,12.8995,"",0.00572088,0.553447,"",3.10223,0.119723,"",44.1431,0.763804,"",1.78282,0.42885,"",1,1,"",2,6,"",1,0,"",1,0,""
"",-0.688756,-1.11592,"",-0.230213,-0.155895,"",0.553696,2.0723,"",2.87812,10.181,"",0.374175,0.888021,"",1.52946,0.391018,"",0.364991,4.15704,"",0.183626,0.0388704,"",0,1,"",4,6,"",0,1,"",0,1,""
"",-0.707495,-0.750819,"",-2.30522,-1.24397,"",4.8205,3.43894,"",2.71408,0.82446,"",0.79238,0.0221873,"",0.0219722,0.333076,"",1.9361,7.33374,"",1.34961,0.105864,"",1,0,"",4,4,"",1,0,"",0,1,""
"",0.364582,2.08717,"",0.184172,-0.0205342,"",1.25738,0.286638,"",13.6023,2.87289,"",0.167537,0.805838,"",0.683037,0.551849,"",0.603044,0.394519,"",0.0753818,0.260848,"",0,0,"",5,4,"",0,2,"",2,2,""
"",0.768533,0.0173956,"",0.0246885,-0.135629,"",0.204272,0.730833,"",6.19778,5.69718,"",0.40104,0.933614,"",0.217151,0.973222,"",0.310545,1.88477,"",0.444142,0.0425612,"",1,0,"",8,5,"",2,0,"",0,0,""
"",-0.112346,-1.2863,"",-5.37721,-0.0677401,"",1.22195,2.26082,"",4.29103,6.42103,"",0.0604953,0.426447,"",1.32708,0.664045,"",3.72464,2.15278,"",0.144446,2.31569,"",1,1,"",5,1,"",4,1,"",2,1,""
"",0.881108,-1.64061,"",-2.23201,-1.7761,"",0.823761,0.34046,"",7.11244,2.90073,"",0.187784,0.55175,"",6.72897,0.868082,"",1.42408,20.6887,"",0.214896,4.52108,"",1,1,"",7,4,"",0,3,"",0,2,""
"",0.398106,0.450187,"",-0.174078,9.86406,"",1.41195,0.191862,"",4.27445,5.70484,"",0.324078,0.532396,"",0.463753,1.10802,"",0.869237,0.292134,"",0.521279,0.881909,"",1,0,"",2,7,"",0,4,"",1,2,""
"",-0.612026,-0.0185598,"",0.387521,-1.37655,"",0.309788,0.55216,"",3.95902,3.54419,"",0.817617,0.980077,"",1.71522,0.120729,"",0.903657,2.43601,"",0.0505673,0.660224,"",1,0,"",4,5,"",1,4,"",0,1,""
"",0.34112,-0.318068,"",-1.10047,0.135041,"",0.36401,1.43166,"",1.11121,3.70496,"",0.000366654,0.0558757,"",0.431221,0.0655172,"",30.4934,3.48092,"",1.06328,0.680214,"",1,0,"",8,4,"",0,5,"",1,1,""
"",-1.12936,-0.929362,"",-0.348315,2.09727,"",1.85518,0.660355,"",2.90396,11.7591,"",0.281238,0.81947,"",0.261791,0.555896,"",0.882259,6.1624,"",0.0644463,0.640826,"",0,1,"",5,3,"",4,0,"",1,0,""
"",1.43302,-1.48746,"",1.49991,-4.02104,"",0.319896,3.45107,"",2.88506,5.07785,"",0.690608,0.702508,"",0.823053,0.107951,"",0.527853,0.694332,"",0.325367,1.52144,"",1,1,"",6,3,"",2,0,"",1,0,""
"",1.9804,-1.07519,"",-0.525487,0.32575,"",1.88392,1.12556,"",3.90425,3.56078,"",0.314882,0.871039,"",1.53524,1.80944,"",53.3884,0.910493,"",0.853436,1.69341,"",0,1,"",3,9,"",0,1,"",1,1,""
"",-0.367221,1.00003,"",2.26338,-0.721023,"",0.556457,0.598673,"",5.44543,5.18814,"",0.432108,0.977792,"",0.293983,0.0179887,"",1.24447,0.443839,"",1.52832,0.697573,"",1,1,"",5,7,"",3,0,"",1,2,""
"",-1.04413,-0.621267,"",-1.02317,0.407903,"",0.827718,0.356848,"",5.35317,2.13139,"",0.502698,0.20029,"",0.650669,0.23664,"",1.22251,1.84356,"",0.337335,0.812492,"",1,0,"",8,2,"",0,1,"",1,1,""
"",0.56972,-1.38443,"",0.817944,21.3268,"",10.9016,1.11576,"",2.49398,3.39227,"",0.1477,0.227751,"",2.74309,1.52171,"",1.40687,0.635066,"",1.17319,0.293561,"",1,0,"",5,6,"",0,10,"",1,3,""
"",-0.135055,1.86929,"",-1.2208,-3.29132,"",3.98586,1.08368,"",7.26962,4.28328,"",0.0598646,0.887954,"",0.244589,0.467886,"",15.4376,3.49271,"",1.01819,0.435772,"",1,0,"",6,7,"",0,1,"",1,0,""
"",2.40162,0.4251,"",0.855178,-19.0221,"",0.576293,0.389868,"",3.84632,5.99336,"",0.281792,0.953188,"",0.961406,0.450066,"",2.01484,3.35285,"",0.320917,3.00178,"",1,0,"",4,8,"",0,3,"",0,1,""
"",-0.03924,-0.238647,"",0.22188,-1.22616,"",0.962756,1.4455,"",6.18535,2.5962,"",0.670249,0.242591,"",0.272845,1.80637,"",0.366569,1.19501,"",2.68714,0.0951586,"",0,1,"",4,2,"",0,0,"",2,1,""
"",0.689739,1.05848,"",0.116982,3.74059,"",3.08004,0.352344,"",1.56077,8.84535,"",0.556962,0.30422,"",0.224162,0.0432355,"",2.18119,0.915536,"",0.79536,0.585949,"",1,1,"",6,3,"",4,2,"",2,2,""
"",0.0280022,0.886423,"",-0.460489,-0.816275,"",1.08006,0.716496,"",9.64899,1.94015,"",0.725776,0.52452,"",0.0942099,0.255415,"",1.56322,1.94652,"",0.462882,0.045499,"",0,0,"",4,6,"",1,0,"",0,1,""
"",-0.743273,-0.619243,"",1.47998,1.20582,"",1.15626,4.99217,"",3.87227,5.80648,"",0.315113,0.944028,"",0.616456,1.14462,"",2.30941,0.784347,"",1.94278,2.17232,"",0,0,"",4,5,"",0,2,"",1,0,""
"",0.188792,2.2061,"",0.777543,1.78774,"",0.83179,3.61377,"",2.39287,2.48555,"",0.716941,0.547619,"",0.344125,0.594245,"",1.67008,7.69702,"",2.63472,1.3346,"",0,1,"",4,3,"",0,0,"",3,2,""
"",-1.80496,-0.255027,"",0.598891,1.15335,"",1.34424,4.78091,"",1.86988,1.78045,"",0.992231,0.56213,"",2.71372,1.27827,"",14.4882,0.680057,"",0.73627,0.462298,"",0,0,"",6,6,"",0,1,"",1,0,""
"",1.46555,-1.42449,"",-5.02871,0.682739,"",1.67007,1.1547,"",9.40252,3.74675,"",0.979844,0.427163,"",3.98906,0.101354,"",87.5434,0.21833,"",0.79855,0.524003,"",0,0,"",6,6,"",2,1,"",0,2,""
"",0.153253,-0.1444,"",6.61824,-0.183542,"",1.55978,0.49264,"",14.6368,5.32109,"",0.757509,0.78312,"",0.368432,0.0904963,"",7.55925,0.530885,"",2.11132,0.0167289,"",1,0,"",6,4,"",0,0,"",2,2,""
"",2.17261,0.207538,"",-1.10332,3.62785,"",0.413839,0.522588,"",5.24439,10.2589,"",0.976159,0.915488,"",0.959445,0.731002,"",1.68719,1.94486,"",1.21733,0.184302,"",1,1,"",7,3,"",0,0,"",0,0,""
"",0.47551,2.30798,"",1.34393,-3.52173,"",0.38022,1.59989,"",6.52429,1.21913,"",0.51263,0.707913,"",0.923422,0.314796,"",0.221557,0.784669,"",0.291084,0.0943101,"",1,1,"",3,5,"",0,1,"",0,1,""
"",-0.709946,0.105802,"",0.125013,-0.18801,"",0.669795,2.96974,"",0.448631,0.510312,"",0.0101763,0.861676,"",1.27759,0.136402,"",0.203258,71.6643,"",0.73888,1.12139,"",1,1,"",7,3,"",1,1,"",3,0,""
"",0.610726,0.456999,"",-0.896749,3.27336,"",0.280231,0.799084,"",1.84625,1.06058,"",0.0678009,0.307582,"",0.0155685,0.0984916,"",3.07491,2.84658,"",0.421395,0.428984,"",1,0,"",6,3,"",2,1,"",1,0,""
"",-0.934098,-0.0771529,"",-0.272451,-0.912387,"",1.57519,1.21687,"",1.81144,2.17467,"",0.265024,0.705013,"",0.789957,0.30282,"",2.51129,0.780341,"",0.500531,1.1442,"",1,0,"",6,6,"",0,0,"",1,1,""
"",-1.25363,-0.334001,"",-1.26447,-6.05732,"",0.583405,1.52194,"",3.96284,1.93722,"",0.638881,0.921357,"",0.726216,3.11835,"",1.9272,7.57789,"",1.0941,1.61381,"",1,1,"",5,4,"",1,0,"",0,0,""
"",0.291446,-0.034726,"",-0.416454,-167.003,"",1.72819,1.0347,"",2.28589,6.65246,"",0.113633,0.648902,"",0.304586,0.204343,"",0.924623,0.554618,"",1.36956,1.95583,"",1,0,"",5,6,"",0,0,"",2,1,""
"",-0.443292,0.78764,"",-13.3953,0.0164477,"",0.748023,2.51099,"",3.81874,2.25551,"",0.501248,0.240894,"",0.52768,1.77559,"",0.801445,1.43797,"",0.0324505,1.82633,"",1,1,"",5,6,"",0,3,"",0,1,""
"",0.00110535,2.07525,"",-1.79817,-0.128951,"",1.40871,2.38015,"",11.458,8.42049,"",0.0333502,0.585858,"",0.31727,1.8243,"",2.49421,23.2693,"",0.495518,0.108634,"",0,0,"",4,2,"",1,0,"",0,1,""
"",0.0743413,1.02739,"",-1.44816,0.286396,"",1.77511,1.2739,"",7.52339,4.15319,"",0.799694,0.881901,"",0.149708,3.85996,"",1.51029,0.641802,"",2.34465,0.643391,"",0,1,"",4,7,"",3,2,"",0,0,""
"",-0.589521,1.20791,"",-33.3115,21.9687,"",1.57742,1.39368,"",5.49627,1.52609,"",0.290658,0.790673,"",1.63987,0.214174,"",3.03274,4.22055,"",0.94988,0.628977,"",0,0,"",3,3,"",0,0,"",0,1,""
"",-0.568669,-1.23132,"",-0.622034,-1.43909,"",0.536919,1.2086,"",12.0912,2.49441,"",0.799707,0.0500307,"",2.50692,1.1282,"",3.18975,1.50386,"",1.54648,0.644231,"",0,1,"",6,5,"",0,0,"",0,0,""
"",-0.135179,0.983896,"",0.468221,0.0638284,"",1.48883,1.01852,"",9.08343,3.2281,"",0.252563,0.191305,"",0.150527,0.926169,"",0.269632,2.4149,"",0.571803,0.362062,"",0,1,"",3,6,"",0,0,"",0,1,""
"",1.17809,0.219925,"",5.53811,0.0690075,"",0.493713,0.600608,"",1.45998,6.58508,"",0.132027,0.932333,"",1.59721,0.118773,"",1.52907,2.63857,"",1.49607,1.48751,"",1,0,"",6,6,"",1,2,"",0,1,""
"",-1.52357,-1.46725,"",-1.02392,1.32791,"",1.26997,0.165291,"",4.71233,3.57109,"",0.906751,0.854159,"",0.409062,0.793441,"",1.43446,0.468777,"",0.0654107,1.41712,"",1,1,"",6,2,"",1,0,"",0,0,""
"",0.593946,0.521023,"",-11.6504,-1.12958,"",0.587545,5.84768,"",4.80248,2.66929,"",0.300418,0.505367,"",0.236937,1.47017,"",7.47289,9.62815,"",0.899017,1.21187,"",0,1,"",6,5,"",3,0,"",2,1,""
"",0.33295,-0.158755,"",0.896549,-0.198323,"",0.331718,0.611112,"",2.99263,5.35115,"",0.0510228,0.742576,"",1.27915,1.44631,"",1.41502,5.38849,"",0.336583,1.08424,"",0,1,"",4,9,"",0,1,"",3,0,""
"",1.0631,1.46459,"",3.20548,-0.792849,"",4.04818,0.119792,"",2.97859,5.83165,"",0.257587,0.697217,"",0.806417,0.171288,"",1.32814,2.68284,"",4.14971,0.824144,"",0,1,"",4,6,"",0,1,"",3,0,""
"",-0.304184,-0.766082,"",-1.68395,0.622395,"",1.30109,1.15645,"",10.2541,3.013,"",0.449719,0.855951,"",0.822992,1.18349,"",15.2269,1.54103,"",0.0128922,0.81293,"",1,1,"",4,5,"",2,0,"",3,1,""
"",0.370019,-0.430212,"",-0.627708,0.494122,"",0.58155,3.41876,"",1.28161,8.68314,"",0.277429,0.011585,"",1.62739,0.150386,"",0.603568,4.95118,"",0.837924,0.195071,"",0,1,"",8,7,"",0,0,"",0,1,""
"",0.267099,-0.926109,"",-0.0561501,1.14663,"",2.43805,1.55225,"",5.2476,1.40404,"",0.566404,0.922304,"",0.840839,0.969418,"",0.580825,0.330908,"",0.560399,0.998625,"",0,1,"",8,6,"",0,3,"",2,0,""
"",-0.54252,-0.177104,"",0.552669,-0.826731,"",0.887416,3.65089,"",1.05859,9.16641,"",0.19768,0.567075,"",0.510463,1.39865,"",4.4361,3.14536,"",0.447468,0.00499115,"",0,1,"",5,2,"",2,5,"",1,1,""
"",1.20787,0.402012,"",-2.01438,0.280779,"",0.194567,4.15167,"",1.14584,5.67791,"",0.548251,0.404981,"",0.583234,0.000986496,"",0.479408,8.74092,"",1.32337,3.62198,"",1,0,"",7,4,"",2,1,"",2,1,""
"",1.1604,-0.731748,"",-0.629319,1.27736,"",0.767208,3.01497,"",2.69867,3.80784,"",0.285596,0.866206,"",0.639856,0.107045,"",2.23936,0.926433,"",2.8449,3.14079,"",1,1,"",6,5,"",2,1,"",0,2,""
"",0.700214,0.830373,"",-6.536,0.759669,"",1.04391,0.458706,"",2.07873,3.07976,"",0.309017,0.74814,"",0.972635,0.0427216,"",1.57853,2.47283,"",2.61953,0.250717,"",0,0,"",5,7,"",0,1,"",1,0,""
"",1.58683,-1.20808,"",-1.99549,8.04561,"",0.810813,1.79285,"",4.03275,10.3052,"",0.740303,0.0140248,"",0.445935,0.762629,"",25.8712,3.40784,"",0.918681,0.932462,"",1,1,"",6,6,"",0,3,"",3,2,""
"",0.558486,-1.04798,"",0.77783,-3.49765,"",0.791156,2.07579,"",1.84496,2.22879,"",0.0388874,0.803847,"",0.30773,0.675403,"",37.2158,2.65539,"",1.92551,0.162288,"",1,0,"",5,6,"",0,0,"",3,0,""
"",-1.27659,1.44116,"",-1.86498,0.990596,"",0.504413,0.463362,"",9.55645,8.12852,"",0.909432,0.842393,"",1.39324,0.774758,"",1.42762,0.360679,"",0.379662,1.69335,"",1,1,"",6,7,"",0,0,"",1,2,""
"",-0.573265,-1.01585,"",0.717955,-0.280335,"",0.46882,4.91864,"",7.7906,5.39687,"",0.549529,0.299081,"",2.28085,0.0052994,"",2.75274,0.634995,"",1.76479,0.148331,"",0,0,"",5,7,"",0,0,"",1,0,""
"",-1.22461,0.411975,"",-2.04044,-2.98521,"",1.23806,1.37913,"",6.99823,0.651155,"",0.991462,0.697837,"",0.191492,0.668645,"",1.89688,2.1815,"",4.69972,0.143849,"",1,1,"",1,5,"",1,2,"",0,2,""
"",-0.473401,-0.381076,"",2.22292,30.719,"",0.554955,9.4097,"",8.54306,8.16459,"",0.212786,0.0878417,"",0.309888,0.470945,"",1.6391,0.688737,"",0.555609,0.486389,"",1,0,"",6,6,"",3,3,"",1,1,""
"",-0.620367,0.409402,"",-2.23579,18.0353,"",0.471793,0.565571,"",1.6786,8.12165,"",0.237147,0.289631,"",1.18997,0.112867,"",0.918384,0.764185,"",0.135501,0.330203,"",1,0,"",5,5,"",0,0,"",2,0,""
"",0.0421159,1.68887,"",0.0698643,1.25912,"",1.10086,0.671952,"",2.93975,4.04234,"",0.912062,0.471871,"",0.106815,0.230761,"",23.2747,0.729714,"",0.247952,0.317459,"",1,0,"",3,3,"",1,2,"",1,0,""
"",-0.910922,1.58659,"",0.447446,0.49705,"",0.642358,0.845355,"",4.26849,3.95568,"",0.794623,0.269437,"",1.04541,1.12105,"",1.00505,1.30055,"",0.812741,0.122762,"",1,1,"",7,5,"",0,1,"",1,0,""
"",0.158029,-0.330908,"",0.833034,-5.59398,"",0.281851,0.344116,"",3.82246,1.60363,"",0.00839881,0.117571,"",1.79392,1.27977,"",0.500218,14.1316,"",0.497488,0.131782,"",0,1,"",7,6,"",0,2,"",0,1,""
"",-0.654585,-2.28524,"",-1.62408,-7.02706,"",2.49503,0.499706,"",5.45086,15.9994,"",0.648492,0.634748,"",0.916554,0.778478,"",1.94218,2.6142,"",0.679353,3.15348,"",0,1,"",7,5,"",0,1,"",1,2,""
"",1.76729,2.49766,"",3.10752,0.221477,"",0.798263,3.15454,"",3.9004,4.7209,"",0.683793,0.728165,"",0.292101,0.496584,"",1.54615,6.81075,"",0.598373,0.300581,"",0,0,"",9,4,"",1,0,"",2,0,""
"",0.716707,0.667066,"",-4.13224,-0.284056,"",0.390957,0.433729,"",1.89646,2.31562,"",0.152151,0.45328,"",0.116245,0.586,"",0.871042,0.257835,"",0.571584,0.283795,"",0,1,"",6,6,"",0,4,"",0,1,""
"",0.910174,0.541327,"",0.236218,-21.1655,"",0.214057,1.10258,"",4.39134,3.56729,"",0.382501,0.437468,"",0.513779,1.94348,"",0.650154,0.551704,"",0.088225,0.312399,"",1,1,"",3,6,"",0,0,"",1,0,""
"",0.384185,-0.0133995,"",1.10285,-5.75649,"",10.4792,2.40408,"",2.49389,6.23443,"",0.158779,0.0219896,"",1.03012,0.0112934,"",1.39339,2.91362,"",0.0847616,1.6548,"",1,1,"",7,4,"",1,3,"",0,0,""
"",1.68218,0.510108,"",-0.129792,2.6096,"",0.78996,0.606399,"",3.99859,1.87569,"",0.0657352,0.167316,"",0.684504,0.30185,"",2.75308,0.687178,"",0.13105,0.493942,"",1,0,"",2,4,"",0,0,"",0,0,""
"","",-0.164376,"","",-0.892691,"","",0.421732,"","",9.37988,"","",0.319179,"","",0.741881,"","",1.84905,"","",1.7056,"","",1,"","",5,"","",1,"","",2,""
